&nbsp;   
__Top 100 Player and what they play__   
               
||Rating|Spec|Player| 
| 116 | 3464 | ⚔️🔮 Warlock Demonology | [Grobherzog](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/grobherzog) |          
| 117 | 3464 | ⚔️🔮 Warlock Destruction | [Gamerdude](https://worldofwarcraft.blizzard.com/en-us/character/us/sargeras/gamerdude) |          
| 118 | 3464 | ⚔️🟤️ Warrior Arms | [Swifty](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/swifty) |          
| 119 | 3463 | ⚔️🦖 Hunter Beastmastery | [Disciple](https://worldofwarcraft.blizzard.com/en-us/character/us/darkspear/disciple) |          
| 120 | 3462 | ⚔️🦖 Hunter Beastmastery | [Bonquiesha](https://worldofwarcraft.blizzard.com/en-us/character/us/area-52/bonquiesha) |          
| 121 | 3462 | ⚔️🧊 Mage Frost | [Juicemage](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/juicemage) |          
| 122 | 3462 | ⚔️🟡 Rogue Assassination | [Nahj](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/nahj) |          
| 123 | 3461 | ⚔️🍺 Monk Windwalker | [Théwy](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/théwy) |          
| 124 | 3460 | ⚔️🍺 Deathknight Unholy | [Oql](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/oql) |          
| 125 | 3460 | ⚔️🍺 Monk Windwalker | [Rsk](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/rsk) |          
| 126 | 3458 | ⚔️🦖 Hunter Beastmastery | [Sphericsnow](https://worldofwarcraft.blizzard.com/en-us/character/us/shuhalo/sphericsnow) |          
| 127 | 3458 | ⚔️🍺 Monk Windwalker | [Lørdjåshïn](https://worldofwarcraft.blizzard.com/en-us/character/us/azjolnerub/lørdjåshïn) |          
| 128 | 3458 | ⚔️🔮 Warlock Demonology | [Rezw](https://worldofwarcraft.blizzard.com/en-us/character/us/illidan/rezw) |          
| 129 | 3458 | ⚔️🔮 Warlock Destruction | [Retwarr](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/retwarr) |          
| 130 | 3458 | ⚔️🔮 Warlock Destruction | [Søülætër](https://worldofwarcraft.blizzard.com/en-us/character/us/bleeding-hollow/søülætër) |          
| 131 | 3457 | ⚔️🟡 Rogue Assassination | [Fotg](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/fotg) |          
| 132 | 3457 | ⚔️🔵 Shaman Elemental | [Shamsz](https://worldofwarcraft.blizzard.com/en-us/character/us/frostmourne/shamsz) |          
| 133 | 3457 | ⚔️🔮 Warlock Demonology | [Realization](https://worldofwarcraft.blizzard.com/en-us/character/us/illidan/realization) |          
| 134 | 3456 | ⚔️🔵 Shaman Enhancement | [Mítsurí](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/mítsurí) |          
| 135 | 3456 | ⚔️🔮 Warlock Destruction | [Danaowns](https://worldofwarcraft.blizzard.com/en-us/character/us/spirestone/danaowns) |          
| 136 | 3455 | ⚔️🌸 Paladin Retribution | [Fosan](https://worldofwarcraft.blizzard.com/en-us/character/us/sargeras/fosan) |          
| 137 | 3455 | ⚔️🔵 Shaman Elemental | [Beyoncé](https://worldofwarcraft.blizzard.com/en-us/character/us/lethon/beyoncé) |          
| 138 | 3455 | ⚔️🔮 Warlock Demonology | [Søülætër](https://worldofwarcraft.blizzard.com/en-us/character/us/bleeding-hollow/søülætër) |          
| 139 | 3454 | ⚔️🔮 Demonhunter Havoc | [Demoncouch](https://worldofwarcraft.blizzard.com/en-us/character/us/malganis/demoncouch) |          
| 140 | 3454 | ⚔️🌸 Paladin Retribution | [Xenk](https://worldofwarcraft.blizzard.com/en-us/character/us/moon-guard/xenk) |          
| 141 | 3453 | ⚔️🍺 Monk Windwalker | [Yerky](https://worldofwarcraft.blizzard.com/en-us/character/us/stormrage/yerky) |          
| 142 | 3453 | ⚔️🟡 Rogue Subtlety | [Nahj](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/nahj) |          
| 143 | 3453 | ⚔️🔵 Shaman Elemental | [Adele](https://worldofwarcraft.blizzard.com/en-us/character/us/lethon/adele) |          
| 144 | 3453 | ⚔️🔮 Warlock Destruction | [Forestfruit](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/forestfruit) |          
| 145 | 3450 | ⚔️🟠 Druid Feral | [Snkykttyx](https://worldofwarcraft.blizzard.com/en-us/character/us/stormrage/snkykttyx) |          
| 146 | 3450 | ⚔️🦖 Hunter Beastmastery | [Cøntrøl](https://worldofwarcraft.blizzard.com/en-us/character/us/stormrage/cøntrøl) |          
| 147 | 3450 | ⚔️🍺 Monk Windwalker | [Color](https://worldofwarcraft.blizzard.com/en-us/character/us/moon-guard/color) |          
| 148 | 3449 | ⚔️🍺 Demonhunter Havoc | [Mvqdh](https://worldofwarcraft.blizzard.com/en-us/character/us/illidan/mvqdh) |          
| 149 | 3448 | ❤️‍🩹🌸 Paladin Holy | [Ryuzu](https://worldofwarcraft.blizzard.com/en-us/character/us/arathor/ryuzu) |          
| 150 | 3448 | ⚔️⚪ Priest Shadow | [Jwx](https://worldofwarcraft.blizzard.com/en-us/character/us/malganis/jwx) |          
| 151 | 3448 | ⚔️🔵 Shaman Elemental | [Fàlc](https://worldofwarcraft.blizzard.com/en-us/character/us/stormrage/fàlc) |          
| 152 | 3447 | ⚔️🔵 Shaman Elemental | [Monsutà](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/monsutà) |          
| 153 | 3446 | ⚔️🔵 Deathknight Unholy | [Pettyk](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/pettyk) |          
| 154 | 3445 | ⚔️🔵 Shaman Elemental | [Neverbe](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/neverbe) |          
| 155 | 3445 | ⚔️🔮 Warlock Demonology | [Daerde](https://worldofwarcraft.blizzard.com/en-us/character/us/malganis/daerde) |          
| 156 | 3444 | ⚔️🦖 Hunter Marksmanship | [Croqp](https://worldofwarcraft.blizzard.com/en-us/character/us/malganis/croqp) |          
| 157 | 3443 | ⚔️🔮 Warlock Demonology | [Pd](https://worldofwarcraft.blizzard.com/en-us/character/us/nathrezim/pd) |          
| 158 | 3442 | ⚔️🌸 Paladin Retribution | [Rûñåwâÿ](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/rûñåwâÿ) |          
| 159 | 3442 | ⚔️🔵 Shaman Elemental | [Bronzer](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/bronzer) |          
| 160 | 3442 | ⚔️🔵 Shaman Enhancement | [Saul](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/saul) |          
| 161 | 3441 | ⚔️🟠 Druid Balance | [Supatease](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/supatease) |          
| 162 | 3441 | ❤️‍🩹🍺 Monk Mistweaver | [Mêlon](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/mêlon) |          
| 163 | 3441 | ⚔️🔵 Shaman Elemental | [Mercs](https://worldofwarcraft.blizzard.com/en-us/character/us/frostmourne/mercs) |          
| 164 | 3441 | ⚔️🔵 Shaman Elemental | [Silentøløgy](https://worldofwarcraft.blizzard.com/en-us/character/us/malganis/silentøløgy) |          
| 165 | 3438 | ⚔️🔵 Shaman Elemental | [Cashe](https://worldofwarcraft.blizzard.com/en-us/character/us/kiljaeden/cashe) |          
| 166 | 3437 | ⚔️🍺 Monk Windwalker | [Keyam](https://worldofwarcraft.blizzard.com/en-us/character/us/illidan/keyam) |          
| 167 | 3437 | ⚔️🟤️ Warrior Arms | [Magnusz](https://worldofwarcraft.blizzard.com/en-us/character/us/zuljin/magnusz) |          
| 168 | 3436 | ⚔️🟠 Druid Feral | [Faithxo](https://worldofwarcraft.blizzard.com/en-us/character/us/stormrage/faithxo) |          
| 169 | 3436 | ⚔️🍺 Monk Windwalker | [Hîddènsõündx](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/hîddènsõündx) |          
| 170 | 3436 | ⚔️🔮 Warlock Destruction | [Drexia](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/drexia) |          
| 171 | 3434 | ⚔️🔮 Warlock Demonology | [Forestfruit](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/forestfruit) |          
| 172 | 3433 | ⚔️🔮 Demonhunter Havoc | [Mvqx](https://worldofwarcraft.blizzard.com/en-us/character/us/illidan/mvqx) |          
| 173 | 3432 | ⚔️🔮 Demonhunter Havoc | [Exzyo](https://worldofwarcraft.blizzard.com/en-us/character/us/area-52/exzyo) |          
| 174 | 3432 | ⚔️🦖 Hunter Beastmastery | [Hfn](https://worldofwarcraft.blizzard.com/en-us/character/us/stormrage/hfn) |          
| 175 | 3432 | ❤️‍🩹⚪ Priest Discipline | [Smightxd](https://worldofwarcraft.blizzard.com/en-us/character/us/thrall/smightxd) |          
| 176 | 3432 | ⚔️🟡 Rogue Assassination | [Nessper](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/nessper) |          
| 177 | 3432 | ⚔️🔮 Warlock Demonology | [Swampsecrets](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/swampsecrets) |          
| 178 | 3431 | ⚔️🌸 Paladin Retribution | [Yáhtzee](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/yáhtzee) |          
| 179 | 3431 | ⚔️🔵 Shaman Elemental | [Rìscó](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/rìscó) |          
| 180 | 3431 | ⚔️🔵 Shaman Elemental | [Billycool](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/billycool) |          
