||Rating|Spec|Player| 
| 120 | 3462 | ⚔️ Hunter 🦖 Beastmastery | [Bonquiesha](https://worldofwarcraft.blizzard.com/en-us/character/us/area-52/bonquiesha) |          
| 121 | 3462 | ⚔️ Mage 🧊 Frost | [Juicemage](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/juicemage) |          
| 122 | 3462 | ⚔️ Rogue 🟡 Assassination | [Nahj](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/nahj) |          
| 123 | 3461 | ⚔️ Monk 🍺 Windwalker | [Théwy](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/théwy) |          
| 124 | 3460 | ⚔️ Deathknight 🍺 Unholy | [Oql](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/oql) |          
| 125 | 3460 | ⚔️ Monk 🍺 Windwalker | [Rsk](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/rsk) |          
| 126 | 3458 | ⚔️ Hunter 🦖 Beastmastery | [Sphericsnow](https://worldofwarcraft.blizzard.com/en-us/character/us/shuhalo/sphericsnow) |          
| 127 | 3458 | ⚔️ Warlock 🔮 Demonology | [Rezw](https://worldofwarcraft.blizzard.com/en-us/character/us/illidan/rezw) |          
| 128 | 3458 | ⚔️ Warlock 🔮 Destruction | [Retwarr](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/retwarr) |          
| 129 | 3458 | ⚔️ Warlock 🔮 Destruction | [Søülætër](https://worldofwarcraft.blizzard.com/en-us/character/us/bleeding-hollow/søülætër) |          
| 130 | 3457 | ⚔️ Rogue 🟡 Assassination | [Fotg](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/fotg) |          
| 131 | 3457 | ⚔️ Warlock 🔮 Demonology | [Realization](https://worldofwarcraft.blizzard.com/en-us/character/us/illidan/realization) |          
| 132 | 3456 | ⚔️ Shaman 🔵 Enhancement | [Mítsurí](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/mítsurí) |          
| 133 | 3456 | ⚔️ Warlock 🔮 Destruction | [Danaowns](https://worldofwarcraft.blizzard.com/en-us/character/us/spirestone/danaowns) |          
| 134 | 3455 | ⚔️ Paladin 🌸 Retribution | [Fosan](https://worldofwarcraft.blizzard.com/en-us/character/us/sargeras/fosan) |          
| 135 | 3455 | ⚔️ Shaman 🔵 Elemental | [Beyoncé](https://worldofwarcraft.blizzard.com/en-us/character/us/lethon/beyoncé) |          
| 136 | 3455 | ⚔️ Warlock 🔮 Demonology | [Søülætër](https://worldofwarcraft.blizzard.com/en-us/character/us/bleeding-hollow/søülætër) |          
| 137 | 3454 | ⚔️ Demonhunter 🔮 Havoc | [Demoncouch](https://worldofwarcraft.blizzard.com/en-us/character/us/malganis/demoncouch) |          
| 138 | 3454 | ⚔️ Paladin 🌸 Retribution | [Xenk](https://worldofwarcraft.blizzard.com/en-us/character/us/moon-guard/xenk) |          
| 139 | 3453 | ⚔️ Monk 🍺 Windwalker | [Yerky](https://worldofwarcraft.blizzard.com/en-us/character/us/stormrage/yerky) |          
| 140 | 3453 | ⚔️ Rogue 🟡 Subtlety | [Nahj](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/nahj) |          
| 141 | 3453 | ⚔️ Shaman 🔵 Elemental | [Adele](https://worldofwarcraft.blizzard.com/en-us/character/us/lethon/adele) |          
| 142 | 3453 | ⚔️ Warlock 🔮 Destruction | [Forestfruit](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/forestfruit) |          
| 143 | 3450 | ⚔️ Druid 🟠 Feral | [Snkykttyx](https://worldofwarcraft.blizzard.com/en-us/character/us/stormrage/snkykttyx) |          
| 144 | 3450 | ⚔️ Hunter 🦖 Beastmastery | [Cøntrøl](https://worldofwarcraft.blizzard.com/en-us/character/us/stormrage/cøntrøl) |          
| 145 | 3450 | ⚔️ Monk 🍺 Windwalker | [Color](https://worldofwarcraft.blizzard.com/en-us/character/us/moon-guard/color) |          
| 146 | 3449 | ⚔️ Demonhunter 🍺 Havoc | [Mvqdh](https://worldofwarcraft.blizzard.com/en-us/character/us/illidan/mvqdh) |          
| 147 | 3448 | ❤️‍🩹 Paladin 🌸 Holy | [Ryuzu](https://worldofwarcraft.blizzard.com/en-us/character/us/arathor/ryuzu) |          
| 148 | 3448 | ⚔️ Priest ⚪ Shadow | [Jwx](https://worldofwarcraft.blizzard.com/en-us/character/us/malganis/jwx) |          
| 149 | 3447 | ⚔️ Shaman 🔵 Elemental | [Monsutà](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/monsutà) |          
| 150 | 3446 | ⚔️ Deathknight 🔵 Unholy | [Pettyk](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/pettyk) |          
| 151 | 3445 | ⚔️ Warlock 🔮 Demonology | [Daerde](https://worldofwarcraft.blizzard.com/en-us/character/us/malganis/daerde) |          
| 152 | 3444 | ⚔️ Hunter 🦖 Marksmanship | [Croqp](https://worldofwarcraft.blizzard.com/en-us/character/us/malganis/croqp) |          
| 153 | 3442 | ⚔️ Paladin 🌸 Retribution | [Rûñåwâÿ](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/rûñåwâÿ) |          
| 154 | 3442 | ⚔️ Shaman 🔵 Elemental | [Bronzer](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/bronzer) |          
| 155 | 3441 | ❤️‍🩹 Monk 🍺 Mistweaver | [Mêlon](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/mêlon) |          
| 156 | 3441 | ⚔️ Shaman 🔵 Elemental | [Mercs](https://worldofwarcraft.blizzard.com/en-us/character/us/frostmourne/mercs) |          
| 157 | 3441 | ⚔️ Shaman 🔵 Elemental | [Silentøløgy](https://worldofwarcraft.blizzard.com/en-us/character/us/malganis/silentøløgy) |          
| 158 | 3438 | ⚔️ Shaman 🔵 Elemental | [Cashe](https://worldofwarcraft.blizzard.com/en-us/character/us/kiljaeden/cashe) |          
| 159 | 3437 | ⚔️ Monk 🍺 Windwalker | [Keyam](https://worldofwarcraft.blizzard.com/en-us/character/us/illidan/keyam) |          
| 160 | 3437 | ⚔️ Warrior 🟤️ Arms | [Magnusz](https://worldofwarcraft.blizzard.com/en-us/character/us/zuljin/magnusz) |          
| 161 | 3436 | ⚔️ Druid 🟠 Feral | [Faithxo](https://worldofwarcraft.blizzard.com/en-us/character/us/stormrage/faithxo) |          
| 162 | 3436 | ⚔️ Warlock 🔮 Destruction | [Drexia](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/drexia) |          
| 163 | 3434 | ⚔️ Warlock 🔮 Demonology | [Forestfruit](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/forestfruit) |          
| 164 | 3433 | ⚔️ Demonhunter 🔮 Havoc | [Mvqx](https://worldofwarcraft.blizzard.com/en-us/character/us/illidan/mvqx) |          
| 165 | 3433 | ⚔️ Monk 🍺 Windwalker | [Xyän](https://worldofwarcraft.blizzard.com/en-us/character/us/bleeding-hollow/xyän) |          
| 166 | 3432 | ⚔️ Demonhunter 🍺 Havoc | [Exzyo](https://worldofwarcraft.blizzard.com/en-us/character/us/area-52/exzyo) |          
| 167 | 3432 | ❤️‍🩹 Priest ⚪ Discipline | [Smightxd](https://worldofwarcraft.blizzard.com/en-us/character/us/thrall/smightxd) |          
| 168 | 3432 | ⚔️ Rogue 🟡 Assassination | [Nessper](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/nessper) |          
| 169 | 3432 | ⚔️ Warlock 🔮 Demonology | [Swampsecrets](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/swampsecrets) |          
| 170 | 3431 | ⚔️ Paladin 🌸 Retribution | [Yáhtzee](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/yáhtzee) |          
| 171 | 3431 | ⚔️ Shaman 🔵 Elemental | [Rìscó](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/rìscó) |          
| 172 | 3431 | ⚔️ Shaman 🔵 Elemental | [Billycool](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/billycool) |          
| 173 | 3430 | ⚔️ Paladin 🌸 Retribution | [Burstnasty](https://worldofwarcraft.blizzard.com/en-us/character/us/blades-edge/burstnasty) |          
| 174 | 3430 | ⚔️ Shaman 🔵 Enhancement | [Gódsgíft](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/gódsgíft) |          
| 175 | 3429 | ⚔️ Druid 🟠 Feral | [Evildooer](https://worldofwarcraft.blizzard.com/en-us/character/us/stormrage/evildooer) |          
| 176 | 3429 | ❤️‍🩹 Monk 🍺 Mistweaver | [Envymonk](https://worldofwarcraft.blizzard.com/en-us/character/us/tichondrius/envymonk) |          
| 177 | 3428 | ⚔️ Warlock 🔮 Destruction | [Muchopower](https://worldofwarcraft.blizzard.com/en-us/character/us/ragnaros/muchopower) |          
| 178 | 3427 | ⚔️ Hunter 🦖 Beastmastery | [Galavant](https://worldofwarcraft.blizzard.com/en-us/character/us/frostmourne/galavant) |          
| 179 | 3427 | ⚔️ Warrior 🟤️ Arms | [Slamurai](https://worldofwarcraft.blizzard.com/en-us/character/us/moon-guard/slamurai) |          
| 180 | 3425 | ⚔️ Paladin 🌸 Retribution | [Kumorizora](https://worldofwarcraft.blizzard.com/en-us/character/us/sargeras/kumorizora) |          
