||Champion|Points|Best Player|Worst Player| 
| 112 | Swain | 40.0 | not played |  |
| 113 | Orianna | 39.4 | [Sugikim](https://www.op.gg/summoners/kr/Sugikim) | [rainº](https://www.op.gg/summoners/na/rainº) |
| 114 | Vayne | 37.0 | [NS Jiwoo](https://www.op.gg/summoners/kr/NS Jiwoo) | [daoxinwengu1](https://www.op.gg/summoners/kr/daoxinwengu1) |
| 115 | Ziggs | 33.8 | [Gen G Seeder](https://www.op.gg/summoners/kr/Gen G Seeder) |  |
| 116 | Akali | 33.7 | [Aileri](https://www.op.gg/summoners/kr/Aileri) | [424PHL](https://www.op.gg/summoners/euw/424PHL) |
| 117 | Braum | 33.4 | [Peter NS](https://www.op.gg/summoners/kr/Peter NS) | [사람 안 믿어](https://www.op.gg/summoners/kr/사람 안 믿어) |
| 118 | Bard | 32.4 | [hzyw](https://www.op.gg/summoners/kr/hzyw) |  |
| 119 | Soraka | 32.1 | [gpnoeynu](https://www.op.gg/summoners/kr/gpnoeynu) |  |
| 120 | Twisted Fate | 31.7 | [헤어지기 싫어](https://www.op.gg/summoners/kr/헤어지기 싫어) |  |
| 121 | Miss Fortune | 31.4 | [땅우양1](https://www.op.gg/summoners/kr/땅우양1) |  |
| 122 | Aatrox | 30.0 | not played |  |
| 123 | Caitlyn | 30.0 | not played |  |
| 124 | Kassadin | 30.0 | not played |  |
| 125 | Kled | 30.0 | not played |  |
| 126 | Xerath | 30.0 | not played |  |
| 127 | Poppy | 29.9 | [asd233](https://www.op.gg/summoners/kr/asd233) | [정현심](https://www.op.gg/summoners/kr/정현심) |
| 128 | Anivia | 28.8 | [Reborn Berkan](https://www.op.gg/summoners/euw/Reborn Berkan) |  |
| 129 | Brand | 21.9 | [타 잔](https://www.op.gg/summoners/kr/타 잔) |  |
| 130 | Lux | 20.0 | not played |  |
| 131 | Trundle | 20.0 | not played |  |
| 132 | Jhin | 13.4 | [baozaopiqi](https://www.op.gg/summoners/kr/baozaopiqi) | [원광대 옥진영](https://www.op.gg/summoners/kr/원광대 옥진영) |
| 133 | Tahm Kench | 13.2 | [Dazbee9](https://www.op.gg/summoners/kr/Dazbee9) | [zui hao yige ren](https://www.op.gg/summoners/kr/zui hao yige ren) |
| 134 | Warwick | 10.6 | [칼과 창 방패](https://www.op.gg/summoners/kr/칼과 창 방패) |  |
| 135 | Skarner | 10.1 | [던갈교수](https://www.op.gg/summoners/kr/던갈교수) |  |
| 136 | Nilah | 10.0 | not played |  |
| 137 | Singed | 10.0 | not played |  |
| 138 | Maokai | 7.1 | [I Love Uber Eats](https://www.op.gg/summoners/euw/I Love Uber Eats) | [무릉필드 1](https://www.op.gg/summoners/kr/무릉필드 1) |
| 139 | Master Yi | 7.1 | [wutian](https://www.op.gg/summoners/kr/wutian) |  |
| 140 | Amumu | 0.0 | not played |  |
| 141 | Corki | 0.0 | not played |  |
| 142 | Dr. Mundo | 0.0 | not played |  |
| 143 | Fizz | 0.0 | not played |  |
| 144 | Janna | 0.0 | not played |  |
| 145 | Kayle | 0.0 | not played |  |
| 146 | Malzahar | 0.0 | not played |  |
| 147 | Nami | 0.0 | not played |  |
| 148 | Neeko | 0.0 | not played |  |
| 149 | Rammus | 0.0 | not played |  |
| 150 | Ryze | 0.0 | not played |  |
| 151 | Shen | 0.0 | not played |  |
| 152 | Shyvana | 0.0 | not played |  |
| 153 | Sona | 0.0 | not played |  |
| 154 | Taric | 0.0 | not played |  |
| 155 | Urgot | 0.0 | not played |  |
| 156 | Vel'Koz | 0.0 | not played |  |
| 157 | Yorick | 0.0 | not played |  |
| 158 | Zyra | 0.0 | not played |  |
| 159 | Gangplank | -2.0 | [tortwig](https://www.op.gg/summoners/na/tortwig) |  |
| 160 | Cho'Gath | -4.5 | [ALVAROARBELOA17](https://www.op.gg/summoners/euw/ALVAROARBELOA17) | [NS Jiwoo](https://www.op.gg/summoners/kr/NS Jiwoo) |
| 161 | Mordekaiser | -11.8 | [its not over](https://www.op.gg/summoners/euw/its not over) |  |
| 162 | Ornn | -18.2 | [Ushuala](https://www.op.gg/summoners/euw/Ushuala) |  |
| 163 | Lillia | -21.0 | [Katappo](https://www.op.gg/summoners/kr/Katappo) | [eilataN](https://www.op.gg/summoners/kr/eilataN) |
